title,price,price_text,area,location,bedrooms,city,link
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng",3.0,3 tỷ,1.000 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-trang-trai-khu-nghi-duong-xa-dong-xuan-2/e-co-1000m-dat-vuon-gia-re-tai-quoc-oai-ha-noi-danh-cho-cac-bac-lam-nha-vuon-duong-pr44273433
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng",3.0,3 tỷ,1.000 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng",3.0,3 tỷ,1.000 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,3.0,3 tỷ,1.000 m²,Hà Nội,N/A,Hà Nội,N/A
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC",2.0,2 tỷ,100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-quoc-lo-21a-quoc-lo-21-phuong-kim-son-6/chinh-chu-can-ban-gap-goc-100m2-ngay-dt416-nam-o-trung-tam-xa-ngay-thi-xa-tay-gan-cnc-pr44261150
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC",2.0,2 tỷ,100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC",2.0,2 tỷ,100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.0,2 tỷ,100 m²,Hà Nội,N/A,Hà Nội,N/A
chính chủ gửi bán lô đất vàng sinh lời cao khu dân cư đông đúc vị trí đắc địa trung tâm phú cát,2.5,"2,5 tỷ",161 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-hoa-thach-xa-hoa-thach/chinh-chu-gui-ban-lo-vang-sinh-loi-cao-khu-dan-cu-dong-duc-vi-tri-dac-dia-trung-tam-phu-cat-pr44257408
chính chủ gửi bán lô đất vàng sinh lời cao khu dân cư đông đúc vị trí đắc địa trung tâm phú cát,2.5,"2,5 tỷ",161 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
chính chủ gửi bán lô đất vàng sinh lời cao khu dân cư đông đúc vị trí đắc địa trung tâm phú cát,2.5,"2,5 tỷ",161 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.5,"2,5 tỷ",161 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán đất Hòa Lạc đẹp như mơ, giá lại bất ngờ!",2.2,"2,2 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong/ban-hoa-lac-dep-nhu-mo-gia-lai-bat-ngo-pr44243336
"Bán đất Hòa Lạc đẹp như mơ, giá lại bất ngờ!",2.2,"2,2 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
"Bán đất Hòa Lạc đẹp như mơ, giá lại bất ngờ!",2.2,"2,2 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.2,"2,2 tỷ",100 m²,Hà Nội,N/A,Hà Nội,N/A
"duy nhất 1 lô 2.9tỷ trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,full thổ cư,2 oto tránh nhau",2.8,"2,8 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-co-dong/sieupham-40-lo-truc-chinh-gan-ql21-cnc-hoa-lac-gia-chi-tu-2-8ty-full-thocu-sodo-mat-tien-6m-pr44215674
"duy nhất 1 lô 2.9tỷ trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,full thổ cư,2 oto tránh nhau",2.8,"2,8 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
"duy nhất 1 lô 2.9tỷ trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,full thổ cư,2 oto tránh nhau",2.8,"2,8 tỷ",100 m²,"·
Sơn Tây, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.8,"2,8 tỷ",100 m²,Hà Nội,N/A,Hà Nội,N/A
Quỹ căn hộ view hồ CK ngay 14% GTCH giá chỉ 90tr/m² tại tòa The Palma - Lumière Orient Pearl,2.53,"2,53 tỷ","28,1 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-thi-tran-trau-quy-prj-lumiere-orient-pearl/-view-studio-1pn-1pn-tai-toa-the-palma-ck-ngay-14-gtch-pr44170979
Quỹ căn hộ view hồ CK ngay 14% GTCH giá chỉ 90tr/m² tại tòa The Palma - Lumière Orient Pearl,2.53,"2,53 tỷ","28,1 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Quỹ căn hộ view hồ CK ngay 14% GTCH giá chỉ 90tr/m² tại tòa The Palma - Lumière Orient Pearl,2.53,"2,53 tỷ","28,1 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.53,"2,53 tỷ","28,1 m²",Hà Nội,1,Hà Nội,N/A
